run,device,device_name,sm,sm_count,cell,axis,points,voxel_m,pool_blocks,blocks,load_factor,batch,scratch_slots,arm,stage,p50_ms,p95_ms,p99_ms,min_ms,mean_ms,n,gpu_state
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,plane-320k,shape,320356,0.010000,16384,1060,0.032349,8,65536,A5-triton,allocate,0.501748,0.503548,0.504924,0.498884,0.501744,30,"2827, 13801, 52, 160.02"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,plane-320k,shape,320356,0.010000,16384,1060,0.032349,8,65536,A5-triton,update,0.374532,0.377212,0.378260,0.371720,0.374473,30,"2827, 13801, 52, 160.02"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-cold,real,407444,0.010000,65536,10245,0.078163,8,65536,A3-cuda,allocate,0.037260,0.037752,0.038104,0.036928,0.037278,30,"2827, 13801, 52, 180.72"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-cold,real,407444,0.010000,65536,10245,0.078163,8,65536,A3-cuda,update,0.435560,0.436880,0.438156,0.432656,0.435702,30,"2827, 13801, 52, 180.72"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-cold,real,407444,0.010000,65536,10245,0.078163,8,65536,A4-rust,allocate,0.045756,0.046124,0.046196,0.045516,0.045812,30,"2827, 13801, 52, 180.72"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-cold,real,407444,0.010000,65536,10245,0.078163,8,65536,A4-rust,update,0.440532,0.442980,0.443344,0.438724,0.440790,30,"2827, 13801, 52, 180.72"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-cold,real,407444,0.010000,65536,10245,0.078163,8,65536,A5-triton,allocate,0.663264,0.666912,0.668276,0.659536,0.663046,30,"2827, 13801, 52, 180.72"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-cold,real,407444,0.010000,65536,10245,0.078163,8,65536,A5-triton,update,0.551396,0.552792,0.553032,0.550000,0.551353,30,"2827, 13801, 52, 180.72"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-warm,real,407444,0.010000,65536,14332,0.109344,8,65536,A3-cuda,allocate,0.023216,0.023496,0.023508,0.022880,0.023222,30,"2820, 13801, 54, 196.52"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-warm,real,407444,0.010000,65536,14332,0.109344,8,65536,A3-cuda,update,0.364576,0.366188,0.369028,0.362932,0.364883,30,"2820, 13801, 54, 196.52"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-warm,real,407444,0.010000,65536,14332,0.109344,8,65536,A4-rust,allocate,0.028644,0.028888,0.028940,0.027908,0.028635,30,"2820, 13801, 54, 196.52"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-warm,real,407444,0.010000,65536,14332,0.109344,8,65536,A4-rust,update,0.366816,0.368352,0.368888,0.364496,0.366831,30,"2820, 13801, 54, 196.52"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-warm,real,407444,0.010000,65536,14332,0.109344,8,65536,A5-triton,allocate,0.663032,0.665320,0.665876,0.659796,0.662591,30,"2820, 13801, 54, 196.52"
1,0,"NVIDIA GeForce RTX 5070 Ti",120,70,tartan-warm,real,407444,0.010000,65536,14332,0.109344,8,65536,A5-triton,update,0.469932,0.475072,0.476884,0.467696,0.470525,30,"2820, 13801, 54, 196.52"
